store,months_with_any,months_with_gristtrap,ratio
オン・ザ・プラネット 魚豪商コダマ大井町店,5,5,1.000
飯田橋 輝らく　定休日(火・水曜日),5,5,1.000
H VIEW株式会社　立川酒場 魚丸 南口店,4,4,1.000
いのこ板橋区赤塚店,4,4,1.000
ニーハオ大井町店,4,4,1.000
ニーハオ蒲田　別館,4,4,1.000
ニーハオ蒲田本店,4,4,1.000
ビストロ エヴォルテ,4,4,1.000
モンキーツリー,4,4,1.000
モンキーツリー　定期清掃/ラグ交換,4,4,1.000
元気ダイニング 大衆焼肉酒場こがね,4,4,1.000
大衆寿司酒場こがね,4,4,1.000
株式会社オン・ザ・プラネット　ニューサカナヤキオ,4,4,1.000
株式会社オン・ザ・プラネット　ホルモンのマンモス,4,4,1.000
株式会社オン・ザ・プラネット　新燻男ニューイブシオ,4,4,1.000
株式会社オン・ザ・プラネット　魚無双トオダ,4,4,1.000
株式会社オン・ザ・プラネット　魚豪商 コダマ新橋店,4,4,1.000
株式会社オン・ザ・プラネット　魚豪商コダマ錦糸町,4,4,1.000
株式会社ダイニングエッジ　楽が気　新橋本店,4,4,1.000
武蔵野アブラ学会　代々木店,4,4,1.000
蕎麦割烹居酒屋　更科天狐〜さらしなてんこ〜,4,4,1.000
鮨ひのもと,4,4,1.000
ニーハオ大森店,3,3,1.000
メティウスフーズ PASTA of LIFE 新宿店,3,3,1.000
メティウスフーズ ピッツェリア ドォーロ 新橋店,3,3,1.000
株式会社オン・ザ・プラネット　焼肉男マンモス,3,3,1.000
麺と肴　担々麺 ペン坊 　青柳社長,3,3,1.000
(仮)【定期清掃】いのこ板橋区赤塚店,2,2,1.000
モンキーツリー　定期清掃,2,2,1.000
大衆串焼き酒場こがね,2,2,1.000
大衆串焼き酒場こがね　初回清掃,2,2,1.000
株式会社オン・ザ・プラネット　魚焼男 弐,2,2,1.000
飯田橋　輝らく　定期清掃,2,2,1.000
H VIEW株式会社　立川酒場 魚丸 南口店　初回清掃,1,1,1.000
Mahaloh Import Shop,1,1,1.000
とくやまホールディングス 分けとく山　初回清掃,1,1,1.000
オン・ザ・プラネット 魚豪商コダマ大井町店　初回,1,1,1.000
メティウスフーズ PASTA of LIFE 新宿店　初回,1,1,1.000
仮【定期清掃】いのこ板橋区赤塚店,1,1,1.000
元気ダイニング 大衆寿司酒場こがね,1,1,1.000
新橋バーラウンジ御殿,1,1,1.000
新橋バーラウンジ御殿　最終清掃　梅岡定期清掃,1,1,1.000
株式会社クラウンセンス　鮨ひのもと,1,1,1.000
飯田橋　輝らく　定期清掃　梅岡,1,1,1.000
麺と肴　担々麺 ペン坊 　青柳社長　 定期清掃 ネズミ駆除,6,4,0.667
とくやまホールディングス 分けとく山,2,1,0.500
GOSSO　0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 渋谷店,4,1,0.250
米と魚　さかなさま　定期清掃/ゴミ回収,4,1,0.250
20:30〜,1,0,0.000
Darts Bar As 日本橋茅場町店,1,0,0.000
Darts Bar a's 大塚店,1,0,0.000
Darts Bar a's 神楽坂店,1,0,0.000
Darts Bar a's 高円寺店,1,0,0.000
GOSSO 0秒レモンサワーときわ亭池袋西口店,3,0,0.000
GOSSO 0秒レモンサワーときわ亭池袋西口店　初回,1,0,0.000
GOSSO　0秒レモンサワー　 深夜渋谷清掃　梅岡定期清掃,1,0,0.000
S BAR 渋谷,3,0,0.000
アサヒナフードイノベーション株式会社　銀座竹の庵5丁目本店　初回清掃,2,0,0.000
オン・ザ・プラネット 魚焼男　バキューム,1,0,0.000
ダーツバー A's　清掃　水道橋　梅岡定期清掃,2,0,0.000
ダーツバー A's　清掃　神楽坂　梅岡定期清掃,1,0,0.000
ダーツバー A's　清掃　高円寺　梅岡定期清掃,1,0,0.000
テイクユー　貝出汁中華そば 竹祥,5,0,0.000
デイジー麹町店,3,0,0.000
デイジー麹町店　定期清掃,1,0,0.000
デニーロ 今村　定期清掃,6,0,0.000
デニーロ 今村　定期清掃　梅岡定期清掃,1,0,0.000
デニーロ 神田店,4,0,0.000
ニーハオ 神田店,4,0,0.000
ニーハオ蒲田　工場,4,0,0.000
パン屋 デイジイ daisy西新宿　梅岡定期清掃,1,0,0.000
パン屋 デイジイ西新宿,4,0,0.000
メティウスフーズ ピッツェリア ドォーロ 新橋店　初回清掃,1,0,0.000
モンキーツリー株式会社エデュケーション MONKEY TREE 日本橋店,5,0,0.000
ラットシート５連結したものを渡す３セット　ネズミ駆除を目的とした定期清掃,3,0,0.000
並木橋なかむら　初回清掃,1,0,0.000
仮【定期清掃】麺処いのこ平和台店,1,0,0.000
大衆寿司酒場 こがね商店,4,0,0.000
富士屋本店日本橋浜町,5,0,0.000
愛宕板前寿司,5,0,0.000
日本橋浜町　定期清掃商談,1,0,0.000
株)plan・do・see The mark grand hotel,1,0,0.000
株式会社オン・ザ・プラネット　魚焼男新橋本店,3,0,0.000
株式会社友進中華食堂一番館 新小岩店,3,0,0.000
株式会社友進中華食堂一番館 新小岩店　初回,1,0,0.000
株式会社友進中華食堂一番館 東陽町,3,0,0.000
株式会社友進中華食堂一番館 東陽町　初回,1,0,0.000
株式会社東神　かおたん赤坂店,2,0,0.000
株式会社東神中国料理かおたん赤坂店,1,0,0.000
米と魚　さかなさま,1,0,0.000
麺処いのこ平和台店,4,0,0.000
