service_id,name,category,default_duration_min,default_price,jotai
service_0001,店舗査察,cleaning,60,0,yuko
service_0002,5Sコンサル（清掃・整理・整頓・躾・清潔）,cleaning,90,0,yuko
service_0003,グリストラップ洗浄（マニフェスト発行なし）,cleaning,90,0,yuko
service_0004,グリストラップ洗浄（マニフェスト発行あり）,cleaning,90,0,yuko
service_0005,グリストラップ高圧洗浄,maintenance,120,0,yuko
service_0006,グレーチング清掃,cleaning,60,0,yuko
service_0007,エアコン表面 拭き清掃,cleaning,60,0,yuko
service_0008,エアコンフィルター洗浄,cleaning,60,0,yuko
service_0009,ルームエアコン分解洗浄,maintenance,120,0,yuko
service_0010,エアコン分解洗浄（床置き型）,maintenance,120,0,yuko
service_0011,エアコン分解洗浄（天カセ型1方向）,maintenance,120,0,yuko
service_0012,エアコン分解洗浄（天カセ型4方向）,maintenance,150,0,yuko
service_0013,レンジフード洗浄（グリスフィルター込み）,cleaning,90,0,yuko
service_0014,レンジフード洗浄（シロッコファン）,maintenance,120,0,yuko
service_0015,ダクト洗浄（店舗内外含む）,maintenance,150,0,yuko
service_0016,換気扇洗浄（プロペラ/天井）,cleaning,90,0,yuko
service_0017,防火シャッター点検,maintenance,60,0,yuko
service_0018,排気ファン点検,maintenance,60,0,yuko
service_0019,ファンベルト点検,maintenance,60,0,yuko
service_0020,床ポリッシャー洗浄（キッチン）,cleaning,90,0,yuko
service_0021,床ポリッシャー洗浄（タイル・石材・フローリング）,cleaning,120,0,yuko
service_0022,床スイーパー洗浄（カーペット）,cleaning,90,0,yuko
service_0023,床オプション（ワックス塗布）,cleaning,90,0,yuko
service_0024,床オプション（ワックス剥離）,cleaning,120,0,yuko
service_0025,床掃除機,cleaning,45,0,yuko
service_0026,階段清掃,cleaning,60,0,yuko
service_0027,テーブル拭き清掃,cleaning,45,0,yuko
service_0028,シール剥がし,cleaning,45,0,yuko
service_0029,キッチン洗浄,cleaning,90,0,yuko
service_0030,シンク洗浄,cleaning,60,0,yuko
service_0031,厨房機器洗浄,cleaning,90,0,yuko
service_0032,窓洗浄,cleaning,60,0,yuko
service_0033,トイレ洗浄（分解洗浄なし）,cleaning,60,0,yuko
service_0034,トイレ洗浄（分解洗浄あり）,maintenance,90,0,yuko
service_0035,ゴキブリ/チョウバエ駆除,pest,60,0,yuko
service_0036,ネズミ駆除,pest,90,0,yuko
service_0037,不用品/粗大ゴミ回収（処分代実費）,other,60,0,yuko
service_0038,業務ゴミ回収（ストックルーム）,other,60,0,yuko
service_0039,整理整頓,other,60,0,yuko
service_0040,配線整理,maintenance,60,0,yuko
service_0041,ソファークリーニング（リンサークリーナー）,cleaning,90,0,yuko
service_0042,スタッフルーム清掃,cleaning,60,0,yuko
service_0043,床マット交換,cleaning,45,0,yuko
service_0044,追加枠（枠のみ）,other,60,0,yuko
service_0045,サブスク料金外サービス,other,60,0,yuko
service_0046,HACCP対応,other,90,0,yuko
service_0047,食中毒検査レポート（衛生チェック/総合）,other,90,0,yuko
service_0048,排水管洗浄（詰まり対策）,maintenance,120,0,yuko
service_0049,壁紙補修,maintenance,90,0,yuko
service_0050,床補修,maintenance,120,0,yuko
service_0051,什器修理,maintenance,90,0,yuko
service_0052,防火管理者名義変更,other,30,0,yuko
service_0053,食品衛生責任者名義変更,other,30,0,yuko
service_0054,アルコール類販売管理者名義変更,other,30,0,yuko
service_0055,月1交流会主催（30〜50名）,other,180,0,yuko
service_0056,ポーカーチップ洗浄,cleaning,45,0,yuko
service_0057,電気工事,maintenance,120,0,yuko
service_0058,水道管工事,maintenance,120,0,yuko
service_0059,WEBサイト作成/保守,other,180,0,yuko
service_0060,印刷物作成,other,90,0,yuko
service_0061,名刺作成,other,60,0,yuko
service_0062,店舗メニュー作成,other,90,0,yuko
service_0063,雑品回収,other,60,0,yuko
service_0064,輸送・郵送代行,other,60,0,yuko
service_0065,保険紹介,other,60,0,yuko
service_0066,ブランディング支援,other,120,0,yuko
service_0067,人材派遣,other,60,0,yuko
